tipo_instancias,rangos,palos,tipo_mano,razonador,archivo,es_timeout,es_error,error_msg,carga_ms,init_ms,precomp_ms,total_ms,mem_pico_mb,clases_jerarquia,total_inferencias,consistente,inst_CartaAlta,inst_Par,inst_DoblePar,inst_Trio,inst_Escalera,inst_Color,inst_Full,inst_Poker,inst_EscaleraColor,inst_EscaleraReal,total_s
instancias_completas,13,12,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_12p\baraja_13r_12p_todas_benchmark_20260709_190200.csv,False,False,,170.0,278.0,145689.0,145967.0,1383.0,40.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,145.967
instancias_completas,13,12,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_12p\baraja_13r_12p_todas_benchmark_20260709_190200.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,12,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_12p\baraja_13r_12p_todas_benchmark_20260709_190200.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,16,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_16p\baraja_13r_16p_todas_benchmark_20260709_190641.csv,False,False,,188.0,263.0,133558.0,133821.0,1235.0,44.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,133.821
instancias_completas,13,16,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_16p\baraja_13r_16p_todas_benchmark_20260709_190641.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,16,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_16p\baraja_13r_16p_todas_benchmark_20260709_190641.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,4,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_4p\baraja_13r_4p_todas_benchmark_20260709_185538.csv,False,False,,165.0,185.0,118542.0,118727.0,1227.0,32.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,118.727
instancias_completas,13,4,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_4p\baraja_13r_4p_todas_benchmark_20260709_185538.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,4,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_4p\baraja_13r_4p_todas_benchmark_20260709_185538.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,8,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_8p\baraja_13r_8p_todas_benchmark_20260709_185844.csv,False,False,,176.0,277.0,140505.0,140782.0,1344.0,36.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,140.782
instancias_completas,13,8,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_8p\baraja_13r_8p_todas_benchmark_20260709_185844.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,13,8,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_13_rangos\resultado_baraja_13r_8p\baraja_13r_8p_todas_benchmark_20260709_185844.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,12,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_12p\baraja_19r_12p_todas_benchmark_20260709_192326.csv,False,False,,231.0,254.0,299691.0,299945.0,3799.0,46.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,299.945
instancias_completas,19,12,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_12p\baraja_19r_12p_todas_benchmark_20260709_192326.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,12,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_12p\baraja_19r_12p_todas_benchmark_20260709_192326.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,16,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_16p\baraja_19r_16p_todas_benchmark_20260709_193006.csv,False,False,,217.0,300.0,268750.0,269050.0,2982.0,50.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,269.05
instancias_completas,19,16,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_16p\baraja_19r_16p_todas_benchmark_20260709_193006.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,16,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_16p\baraja_19r_16p_todas_benchmark_20260709_193006.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,4,Todas,HermiT,C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_4p\baraja_19r_4p_todas_benchmark_20260709_191107.csv,False,False,,153.0,218.0,245366.0,245584.0,4451.0,38.0,124.0,True,40.0,20.0,8.0,12.0,12.0,12.0,4.0,4.0,8.0,4.0,245.584
instancias_completas,19,4,Todas,JFact (FaCT++),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_4p\baraja_19r_4p_todas_benchmark_20260709_191107.csv,True,False,,,,,,,,,False,,,,,,,,,,,
instancias_completas,19,4,Todas,Openllet (Pellet),C:\Users\guill\OneDrive\Desktop\poker-ontology\resultados\instancias_completas\barajas_19_rangos\resultado_baraja_19r_4p\baraja_19r_4p_todas_benchmark_20260709_191107.csv,True,False,,,,,,,,,False,,,,,,,,,,,
